"line","lyric","element","element_artist"
1,"(Hey, hey, hey)","Intro","Taylor Swift"
2,"(Hey, hey, hey)","Intro","Taylor Swift"
3,"(Hey, hey, hey)","Intro","Taylor Swift"
4,"(Hey, hey, hey)","Intro","Taylor Swift"
5,"People like you always want back","Verse 1","Taylor Swift"
6,"The love they gave away","Verse 1","Taylor Swift"
7,"And people like me wanna believe you","Verse 1","Taylor Swift"
8,"When you say you've changed","Verse 1","Taylor Swift"
9,"The more I think about it now","Verse 1","Taylor Swift"
10,"The less I know","Verse 1","Taylor Swift"
11,"All I know is that you drove us","Verse 1","Taylor Swift"
12,"Off the road","Verse 1","Taylor Swift"
13,"(Stay) Hey, all you had to do was stay","Chorus","Taylor Swift"
14,"Had me in the palm of your hand, then","Chorus","Taylor Swift"
15,"Why'd you have to go and lock me out when I let you in?","Chorus","Taylor Swift"
16,"(Stay) Hey, now you say you want it back","Chorus","Taylor Swift"
17,"Now that it's just too late","Chorus","Taylor Swift"
18,"Well, could've been easy","Chorus","Taylor Swift"
19,"All you had to do was (Stay)","Chorus","Taylor Swift"
20,"All you had to do was (Stay)","Post-Chorus","Taylor Swift"
21,"All you had to do was (Stay)","Post-Chorus","Taylor Swift"
22,"All you had to do was (Stay)","Post-Chorus","Taylor Swift"
23,"All you had to do was stay","Post-Chorus","Taylor Swift"
24,"Here you are now, calling me up","Verse 2","Taylor Swift"
25,"But I don't know what to say","Verse 2","Taylor Swift"
26,"I've been picking up the pieces","Verse 2","Taylor Swift"
27,"Of the mess you made","Verse 2","Taylor Swift"
28,"People like you always want back","Verse 2","Taylor Swift"
29,"The love they pushed aside","Verse 2","Taylor Swift"
30,"But people like me are gone forever","Verse 2","Taylor Swift"
31,"When you say goodbye","Verse 2","Taylor Swift"
32,"(Stay) Hey, all you had to do was stay","Chorus","Taylor Swift"
33,"Had me in the palm of your hand, then","Chorus","Taylor Swift"
34,"Why'd you have to go and lock me out when I let you in?","Chorus","Taylor Swift"
35,"(Stay) Hey, now you say you want it back","Chorus","Taylor Swift"
36,"Now that it's just too late","Chorus","Taylor Swift"
37,"Well, could've been easy","Chorus","Taylor Swift"
38,"All you had to do was (Stay)","Chorus","Taylor Swift"
39,"All you had to do was (Stay)","Post-Chorus","Taylor Swift"
40,"All you had to do was (Stay)","Post-Chorus","Taylor Swift"
41,"All you had to do was (Stay, stay, stay, stay, stay)","Post-Chorus","Taylor Swift"
42,"Let me remind you","Bridge","Taylor Swift"
43,"This was what you wanted (Oh, oh, oh-oh-oh)","Bridge","Taylor Swift"
44,"You ended it","Bridge","Taylor Swift"
45,"You were all I wanted (Oh, oh, oh-oh-oh)","Bridge","Taylor Swift"
46,"But not like this","Bridge","Taylor Swift"
47,"Not like this","Bridge","Taylor Swift"
48,"Not like this","Bridge","Taylor Swift"
49,"Oh, all you had to do was...","Bridge","Taylor Swift"
50,"(Stay) Hey, all you had to do was stay","Chorus","Taylor Swift"
51,"Had me in the palm of your hand, then","Chorus","Taylor Swift"
52,"Why'd you want to go and lock me out when I let you in?","Chorus","Taylor Swift"
53,"(Stay) Hey, now you say you want it back","Chorus","Taylor Swift"
54,"Now that it's just too late","Chorus","Taylor Swift"
55,"Well, could've been easy","Chorus","Taylor Swift"
56,"All you had to do was...","Chorus","Taylor Swift"
57,"(Stay) Hey, all you had to do was stay","Chorus","Taylor Swift"
58,"Had me in the palm of your hand, then","Chorus","Taylor Swift"
59,"Why'd you have to go and lock me out when I let you in?","Chorus","Taylor Swift"
60,"(Stay) Hey, now you say you want it back","Chorus","Taylor Swift"
61,"Now that it's just too late","Chorus","Taylor Swift"
62,"Well, could've been easy (All you had to do was stay)","Chorus","Taylor Swift"
63,"All you had to do was (Stay)","Chorus","Taylor Swift"
64,"All you had to do was (Stay) (Oh)","Post-Chorus","Taylor Swift"
65,"All you had to do was (Stay)","Post-Chorus","Taylor Swift"
66,"All you had to do was (Stay) (Ooh)","Post-Chorus","Taylor Swift"
67,"All you had to do was (Stay)","Post-Chorus","Taylor Swift"
