"line","lyric","element","element_artist"
1,"Elevator buttons and morning air","Verse 1","Taylor Swift"
2,"Strangers' silence makes me want to take the stairs","Verse 1","Taylor Swift"
3,"If you were here, we'd laugh about their vacant stares","Verse 1","Taylor Swift"
4,"But right now, my time is theirs","Verse 1","Taylor Swift"
5,"Seems like there's always someone who disapproves","Verse 1","Taylor Swift"
6,"They'll judge it like they know about me and you","Verse 1","Taylor Swift"
7,"And the verdict comes from those with nothing else to do","Verse 1","Taylor Swift"
8,"The jury's out, but my choice is you","Verse 1","Taylor Swift"
9,"So don't you worry your pretty little mind","Chorus","Taylor Swift"
10,"People throw rocks at things that shine","Chorus","Taylor Swift"
11,"And life makes love look hard","Chorus","Taylor Swift"
12,"The stakes are high, the water's rough","Chorus","Taylor Swift"
13,"But this love is ours","Chorus","Taylor Swift"
14,"You never know what people have up their sleeves","Verse 2","Taylor Swift"
15,"Ghosts from your past gonna jump out at me","Verse 2","Taylor Swift"
16,"Lurking in the shadows with their lip gloss smiles","Verse 2","Taylor Swift"
17,"But I don't care, 'cause right now, you're mine","Verse 2","Taylor Swift"
18,"And you'll say","Chorus","Taylor Swift"
19,"Don't you worry your pretty little mind","Chorus","Taylor Swift"
20,"People throw rocks at things that shine","Chorus","Taylor Swift"
21,"And life makes love look hard","Chorus","Taylor Swift"
22,"The stakes are high, the water's rough","Chorus","Taylor Swift"
23,"But this love is ours","Chorus","Taylor Swift"
24,"And it's not theirs to speculate if it's wrong","Bridge","Taylor Swift"
25,"And your hands are tough, but they are where mine belong","Bridge","Taylor Swift"
26,"And I'll fight their doubt and give you faith","Bridge","Taylor Swift"
27,"With this song for you","Bridge","Taylor Swift"
28,"'Cause I love the gap between your teeth","Breakdown","Taylor Swift"
29,"And I love the riddles that you speak","Breakdown","Taylor Swift"
30,"And any snide remarks from my father about your tattoos","Breakdown","Taylor Swift"
31,"Will be ignored","Breakdown","Taylor Swift"
32,"'Cause my heart is yours","Breakdown","Taylor Swift"
33,"So don't you worry your pretty little mind","Chorus","Taylor Swift"
34,"People throw rocks at things that shine","Chorus","Taylor Swift"
35,"And life makes love look hard","Chorus","Taylor Swift"
36,"Don't you worry your pretty little mind","Chorus","Taylor Swift"
37,"People throw rocks at things that shine","Chorus","Taylor Swift"
38,"But they can't take what's ours","Chorus","Taylor Swift"
39,"They can't take what's ours","Chorus","Taylor Swift"
40,"The stakes are high, the water's rough","Outro","Taylor Swift"
41,"But this love is ours","Outro","Taylor Swift"
