"line","lyric","element","element_artist"
1,"Once upon a time","Verse 1","Taylor Swift"
2,"I believe it was a Tuesday when I caught your eye","Verse 1","Taylor Swift"
3,"And we caught onto something","Verse 1","Taylor Swift"
4,"I hold onto the night","Verse 1","Taylor Swift"
5,"You looked me in the eye and told me you loved me","Verse 1","Taylor Swift"
6,"Were you just kidding?","Verse 1","Taylor Swift"
7,"'Cause it seems to me","Verse 1","Taylor Swift"
8,"This thing is breaking down, we almost never speak","Verse 1","Taylor Swift"
9,"I don't feel welcome anymore","Verse 1","Taylor Swift"
10,"Baby, what happened? Please tell me","Verse 1","Taylor Swift"
11,"'Cause one second it was perfect","Verse 1","Taylor Swift"
12,"Now you're halfway out the door","Verse 1","Taylor Swift"
13,"And I stare at the phone, he still hasn't called","Chorus","Taylor Swift"
14,"And then you feel so low you can't feel nothing at all","Chorus","Taylor Swift"
15,"And you flashback to when he said forever and always","Chorus","Taylor Swift"
16,"Oh, and it rains in your bedroom","Chorus","Taylor Swift"
17,"Everything is wrong","Chorus","Taylor Swift"
18,"It rains when you're here and it rains when you're gone","Chorus","Taylor Swift"
19,"'Cause I was there when you said forever and always","Chorus","Taylor Swift"
20,"Was I out of line?","Verse 2","Taylor Swift"
21,"Did I say something way too honest, made you run and hide","Verse 2","Taylor Swift"
22,"Like a scared little boy?","Verse 2","Taylor Swift"
23,"I looked into your eyes","Verse 2","Taylor Swift"
24,"Thought I knew you for a minute, now I'm not so sure","Verse 2","Taylor Swift"
25,"So here's to everything coming down to nothing","Verse 2","Taylor Swift"
26,"Here's to silence that cuts me to the core","Verse 2","Taylor Swift"
27,"Where is this going?","Verse 2","Taylor Swift"
28,"Thought I knew for a minute, but I don't anymore","Verse 2","Taylor Swift"
29,"And I stare at the phone, he still hasn't called","Chorus","Taylor Swift"
30,"And then you feel so low you can't feel nothing at all","Chorus","Taylor Swift"
31,"And you flashback to when he said forever and always","Chorus","Taylor Swift"
32,"Oh, and it rains in your bedroom","Chorus","Taylor Swift"
33,"Everything is wrong","Chorus","Taylor Swift"
34,"It rains when you're here and it rains when you're gone","Chorus","Taylor Swift"
35,"'Cause I was there when you said forever and always","Chorus","Taylor Swift"
36,"You didn't mean it baby, I don't think so","Chorus","Taylor Swift"
37,"Oh, back up, baby, back up","Bridge","Taylor Swift"
38,"Did you forget everything?","Bridge","Taylor Swift"
39,"Back up, baby, back up","Bridge","Taylor Swift"
40,"Did you forget everything?","Bridge","Taylor Swift"
41,"'Cause it rains in your bedroom","Chorus","Taylor Swift"
42,"Everything is wrong","Chorus","Taylor Swift"
43,"It rains when you're here and it rains when you're gone","Chorus","Taylor Swift"
44,"'Cause I was there when you said forever and always","Chorus","Taylor Swift"
45,"Oh, I stare at the phone, he still hasn't called","Chorus","Taylor Swift"
46,"And then you feel so low you can't feel nothing at all","Chorus","Taylor Swift"
47,"And you flashback to when we said forever and always","Chorus","Taylor Swift"
48,"And it rains in your bedroom","Chorus","Taylor Swift"
49,"Everything is wrong","Chorus","Taylor Swift"
50,"It rains when you're here and it rains when you're gone","Chorus","Taylor Swift"
51,"'Cause I was there when you said forever and always","Chorus","Taylor Swift"
52,"You didn't mean it baby","Chorus","Taylor Swift"
53,"You said forever and always, yeah","Chorus","Taylor Swift"
