"line","lyric","element","element_artist"
1,"Clear blue water","Verse 1","Taylor Swift"
2,"High tide came and brought you in","Verse 1","Taylor Swift"
3,"And I could go on and on, on and on and I will","Verse 1","Taylor Swift"
4,"Skies grew darker","Verse 1","Taylor Swift"
5,"Currents swept you out again","Verse 1","Taylor Swift"
6,"And you were just gone and gone, gone and gone","Verse 1","Taylor Swift"
7,"In silent screams and wildest dreams","Pre-Chorus 1","Taylor Swift"
8,"I never dreamed of this","Pre-Chorus 1","Taylor Swift"
9,"This love is good, this love is bad","Chorus 1","Taylor Swift"
10,"This love is alive back from the dead, oh-oh, oh","Chorus 1","Taylor Swift"
11,"These hands had to let it go free, and","Chorus 1","Taylor Swift"
12,"This love came back to me, oh-oh, oh","Chorus 1","Taylor Swift"
13,"Oh-oh, oh, oh-oh, oh","Chorus 1","Taylor Swift"
14,"Tossing, turning","Verse 2","Taylor Swift"
15,"Struggled through the night with someone new","Verse 2","Taylor Swift"
16,"And I could go on and on, on and on","Verse 2","Taylor Swift"
17,"Lantern, burning","Verse 2","Taylor Swift"
18,"Flickered in my mind, only you","Verse 2","Taylor Swift"
19,"But you were still gone, gone, gone","Verse 2","Taylor Swift"
20,"Been losing grip, on sinking ships","Pre-Chorus 2","Taylor Swift"
21,"You showed up just in time","Pre-Chorus 2","Taylor Swift"
22,"This love is good, this love is bad","Chorus 2","Taylor Swift"
23,"This love is alive back from the dead, oh-oh, oh","Chorus 2","Taylor Swift"
24,"These hands had to let it go free, and","Chorus 2","Taylor Swift"
25,"This love came back to me, oh-oh, oh","Chorus 2","Taylor Swift"
26,"This love left a permanent mark","Chorus 2","Taylor Swift"
27,"This love is glowing in the dark, oh-oh, oh","Chorus 2","Taylor Swift"
28,"These hands had to let it go free, and","Chorus 2","Taylor Swift"
29,"This love came back to me, oh-oh, oh","Chorus 2","Taylor Swift"
30,"(This love, this love, this love, this love, oh)","Post-Chorus","Taylor Swift"
31,"(This love, this love, this love, this love, oh)","Post-Chorus","Taylor Swift"
32,"(This love, this love, this love, this love, oh)","Post-Chorus","Taylor Swift"
33,"(This love, this love, this love, this love, oh)","Post-Chorus","Taylor Swift"
34,"Your kiss, my cheek","Bridge","Taylor Swift"
35,"I watched you leave","Bridge","Taylor Swift"
36,"Your smile, my ghost","Bridge","Taylor Swift"
37,"I fell to my knees","Bridge","Taylor Swift"
38,"When you're young, you just run","Bridge","Taylor Swift"
39,"But you come back to what you need","Bridge","Taylor Swift"
40,"This love is good, this love is bad","Chorus 2","Taylor Swift"
41,"This love is alive back from the dead, oh-oh, oh","Chorus 2","Taylor Swift"
42,"These hands had to let it go free, and","Chorus 2","Taylor Swift"
43,"This love came back to me, oh-oh, oh","Chorus 2","Taylor Swift"
44,"(This love) This love left a permanent mark","Chorus 2","Taylor Swift"
45,"(This love) This love is glowing in the dark, oh-oh, oh","Chorus 2","Taylor Swift"
46,"(This love) These hands had to let it go free, and","Chorus 2","Taylor Swift"
47,"(This love) This love came back to me, oh-oh, oh","Chorus 2","Taylor Swift"
48,"(This love, this love, this love, this love, oh)","Post-Chorus","Taylor Swift"
49,"(This love, this love, this love, this love, oh)","Post-Chorus","Taylor Swift"
50,"(This love, this love, this love, this love)","Post-Chorus","Taylor Swift"
51,"This love, this love came back to me, oh-oh, oh","Post-Chorus","Taylor Swift"
