"line","lyric","element","element_artist"
1,"All this time I was wasting hoping you would come around","Verse 1","Taylor Swift"
2,"I've been giving out chances every time and all you do is let me down","Verse 1","Taylor Swift"
3,"And it's taken me this long, baby, but I've figured you out","Verse 1","Taylor Swift"
4,"And you're thinking we'll be fine again, but not this time around","Verse 1","Taylor Swift"
5,"You don't have to call anymore","Chorus","Taylor Swift"
6,"I won't pick up the phone","Chorus","Taylor Swift"
7,"This is the last straw","Chorus","Taylor Swift"
8,"Don't wanna hurt anymore","Chorus","Taylor Swift"
9,"And you can tell me that you're sorry","Chorus","Taylor Swift"
10,"But I don't believe you, baby, like I did before","Chorus","Taylor Swift"
11,"You're not sorry (No no no no)","Chorus","Taylor Swift"
12,"You're looking so innocent, I might believe you if I didn't know","Verse 2","Taylor Swift"
13,"Could've loved you all my life if you hadn't left me waiting in the cold","Verse 2","Taylor Swift"
14,"And you've got your share of secrets","Verse 2","Taylor Swift"
15,"And I'm tired of being last to know, oh","Verse 2","Taylor Swift"
16,"And now you're asking me to listen 'cause it's worked each time before","Verse 2","Taylor Swift"
17,"But you don't have to call anymore","Chorus","Taylor Swift"
18,"I won't pick up the phone","Chorus","Taylor Swift"
19,"This is the last straw","Chorus","Taylor Swift"
20,"Don't wanna hurt anymore","Chorus","Taylor Swift"
21,"And you can tell me that you're sorry","Chorus","Taylor Swift"
22,"But I don't believe you, baby, like I did before","Chorus","Taylor Swift"
23,"You're not sorry (No no no no)","Chorus","Taylor Swift"
24,"You're not sorry (No no no no)","Chorus","Taylor Swift"
25,"You had me crawling for you, honey, and it never would've gone away, no","Bridge","Taylor Swift"
26,"You used to shine so bright, but I watched all of it fade","Bridge","Taylor Swift"
27,"So you don't have to call anymore","Chorus","Taylor Swift"
28,"I won't pick up the phone","Chorus","Taylor Swift"
29,"This is the last straw","Chorus","Taylor Swift"
30,"There's nothing left to beg for","Chorus","Taylor Swift"
31,"And you can tell me that you're sorry","Chorus","Taylor Swift"
32,"But I don't believe you, baby, like I did before","Chorus","Taylor Swift"
33,"You're not sorry (No no no no)","Chorus","Taylor Swift"
34,"You're not sorry (No no no no)","Chorus","Taylor Swift"
35,"(No, no, no, no, no, no, no, no, no, no, no, no)","Chorus","Taylor Swift"
36,"Woah, oh, oh oh, oh oh oh","Chorus","Taylor Swift"
37,"(Oh, oh, oh, no, no, no, no, no, no)","Chorus","Taylor Swift"
